"","Player","Age","Tm","Pos","GP","G","A","PTS","Resids"
"249","Kyle Okposo\okposky01",30,"BUF","RW",78,14,15,29,-0.0945242359619821
"281","Sam Reinhart
einhsa01",23,"BUF","C",82,22,43,65,-0.0946127999003962
"107","Warren Foegeleoegewa01",22,"CAR","LW",77,10,5,15,-0.095135554934084
"253","Max Pacioretty\pacioma01",30,"VEG","LW",66,22,18,40,-0.0952312763610883
"285","Evan Rodrigues
odriev01",25,"BUF","C",74,9,20,29,-0.0960454617145153
"100","Radek Faksaaksara01",25,"DAL","C",81,15,15,30,-0.097271711815492
"310","Jeff Skinner\skinnje01",26,"BUF","C",82,40,23,63,-0.0977062824778627
"200","Anders Lee\leean01",28,"NYI","C",82,28,23,51,-0.0993730973326032
"264","Tanner Pearson\pearsta01",26,"TOT","LW",80,18,9,27,-0.100683219312315
"246","William Nylander
ylanwi01",22,"TOR","C",54,7,20,27,-0.101390834159085
"366","Justin Williams\williju01",37,"CAR","RW",82,23,30,53,-0.10160737144189
"19","Sven Baertschiaertsv01",26,"VAN","LW",26,9,5,14,-0.103162765480291
"262","Nolan Patrick\patrino01",20,"PHI","C",72,13,18,31,-0.103641706266017
"317","Jason Spezza\spezzja01",35,"DAL","C",76,8,19,27,-0.104668573257471
"159","Marcus Johansson\johanma03",28,"TOT","C",58,13,17,30,-0.105007387293232
"283","Tobias Rieder
iedeto01",26,"EDM","C",67,0,11,11,-0.105175876782777
"311","Craig Smith\smithcr01",29,"NSH","C",76,21,17,38,-0.105992345616622
"142","Adam Henrique\henriad01",28,"ANA","C",82,18,24,42,-0.106684846550987
"180","Mikko Koivu\koivumi01",35,"MIN","C",48,8,21,29,-0.107722713549238
"155","Mattias Janmark\janmama02",26,"DAL","C",81,6,19,25,-0.108391705927881
"28","Jamie Bennennja01",29,"DAL","LW",78,27,26,53,-0.10901601796278
"16","David Backesackeda01",34,"BOS","C",70,7,13,20,-0.109395581531106
"119","Ryan Getzlaf\getzlry01",33,"ANA","C",67,14,34,48,-0.11007611321118
"9","Artem Anisimovnisiar01",30,"CHI","C",78,15,22,37,-0.110366286911435
"314","Vladimir Sobotka\sobotvl01",31,"BUF","C",69,5,8,13,-0.110380415067063
"202","Brendan Leipsic\leipsbr01",24,"TOT","LW",62,7,16,23,-0.11175417462542
"113","Alex Galchenyuk\galchal01",24,"ARI","C",72,19,22,41,-0.113445875791657
"359","Lucas Wallmark\wallmlu01",23,"CAR","C",81,10,18,28,-0.113493053606289
